Id;WarehouseId;WarehouseUnbCode;WarehouseName;MapType;Type;Value;GenericValue;;;;;;
38;450;762;CDL-Ceara;1;1;0;False;;;;;;
39;450;762;CDL-Ceara;2;1;0;False;;;;;;
40;450;762;CDL-Ceara;3;1;0;False;;;;;;
41;421;992;CDD Equatorial;0;0;0;true;;;;;;
42;421;992;CDD Equatorial;1;0;0;False;;;;;;
43;421;992;CDD Equatorial;2;0;0;False;;;;;;
44;421;992;CDD Equatorial;3;0;0;False;;;;;;
45;421;992;CDD Equatorial;0;1;0;true;;;;;;
46;421;992;CDD Equatorial;1;1;0;False;;;;;;
47;421;992;CDD Equatorial;2;1;0;False;;;;;;
48;421;992;CDD Equatorial;3;1;0;False;;;;;;
49;184;764;CDD-Guarulhos;0;0;0;true;;;;;;
50;184;764;CDD-Guarulhos;1;0;0;false;;;;;;
51;184;764;CDD-Guarulhos;2;0;0;true;;;;;;
52;184;764;CDD-Guarulhos;3;0;0;False;;;;;;
53;184;764;CDD-Guarulhos;0;1;0;true;;;;;;
54;184;764;CDD-Guarulhos;1;1;0;False;;;;;;
55;184;764;CDD-Guarulhos;2;1;0;true;;;;;;
56;184;764;CDD-Guarulhos;3;1;0;False;;;;;;
57;362;19;CD Tucuman;0;0;1;True;;;;;;
58;362;19;CD Tucuman;1;0;1;True;;;;;;
59;362;19;CD Tucuman;2;0;1;True;;;;;;
60;362;19;CD Tucuman;3;0;1;True;;;;;;
61;362;19;CD Tucuman;0;1;1;True;;;;;;
62;362;19;CD Tucuman;1;1;1;True;;;;;;
63;362;19;CD Tucuman;2;1;1;True;;;;;;
64;362;19;CD Tucuman;3;1;1;True;;;;;;
65;364;30;CD Santos Lugares;0;0;1;True;;;;;;
66;364;30;CD Santos Lugares;1;0;1;True;;;;;;
67;364;30;CD Santos Lugares;2;0;1;True;;;;;;
68;364;30;CD Santos Lugares;3;0;1;True;;;;;;
69;364;30;CD Santos Lugares;0;1;1;True;;;;;;
70;364;30;CD Santos Lugares;1;1;1;True;;;;;;
71;364;30;CD Santos Lugares;2;1;1;True;;;;;;
72;364;30;CD Santos Lugares;3;1;1;True;;;;;;
73;410;418;CDD-Santa Cruz;0;0;0;true;;;;;;
74;410;418;CDD-Santa Cruz;1;0;0;true;;;;;;
75;410;418;CDD-Santa Cruz;2;0;0;true;;;;;;
76;410;418;CDD-Santa Cruz;3;0;0;False;;;;;;
77;410;418;CDD-Santa Cruz;0;1;0;true;;;;;;
78;410;418;CDD-Santa Cruz;1;1;0;False;;;;;;
79;410;418;CDD-Santa Cruz;2;1;0;False;;;;;;
80;410;418;CDD-Santa Cruz;3;1;0;False;;;;;;
81;481;966;CDD-S J Campos;0;0;0;true;;;;;;
82;481;966;CDD-S J Campos;1;0;0;true;;;;;;
83;481;966;CDD-S J Campos;2;0;0;true;;;;;;
84;481;966;CDD-S J Campos;3;0;0;False;;;;;;
85;481;966;CDD-S J Campos;0;1;0;true;;;;;;
86;481;966;CDD-S J Campos;1;1;0;False;;;;;;
87;481;966;CDD-S J Campos;2;1;0;False;;;;;;
88;481;966;CDD-S J Campos;3;1;0;False;;;;;;
89;482;303;CDD-Barueri;0;0;0;true;;;;;;
90;482;303;CDD-Barueri;1;0;0;false;;;;;;
91;482;303;CDD-Barueri;2;0;0;false;;;;;;
92;482;303;CDD-Barueri;3;0;0;False;;;;;;
93;482;303;CDD-Barueri;0;1;0;true;;;;;;
94;482;303;CDD-Barueri;1;1;0;False;;;;;;
95;482;303;CDD-Barueri;2;1;0;False;;;;;;
96;482;303;CDD-Barueri;3;1;0;False;;;;;;
97;148;820;CDD-Alfenas;0;0;0;true;;;;;;
98;148;820;CDD-Alfenas;1;0;0;false;;;;;;
99;148;820;CDD-Alfenas;2;0;0;false;;;;;;
100;148;820;CDD-Alfenas;3;0;0;False;;;;;;
101;148;820;CDD-Alfenas;0;1;0;true;;;;;;
102;148;820;CDD-Alfenas;1;1;0;False;;;;;;
103;148;820;CDD-Alfenas;2;1;0;False;;;;;;
104;148;820;CDD-Alfenas;3;1;0;False;;;;;;
105;401;956;CDD-Ribeirão Preto;0;0;0;false;;;;;;
106;401;956;CDD-Ribeirão Preto;1;0;0;false;;;;;;
107;401;956;CDD-Ribeirão Preto;2;0;0;false;;;;;;
108;401;956;CDD-Ribeirão Preto;3;0;0;False;;;;;;
109;401;956;CDD-Ribeirão Preto;0;1;0;false;;;;;;
110;401;956;CDD-Ribeirão Preto;1;1;0;False;;;;;;
111;401;956;CDD-Ribeirão Preto;2;1;0;False;;;;;;
112;401;956;CDD-Ribeirão Preto;3;1;0;False;;;;;;
113;413;95;CDD-Minas;0;0;0;true;;;;;;
114;413;95;CDD-Minas;1;0;0;true;;;;;;
115;413;95;CDD-Minas;2;0;0;true;;;;;;
116;413;95;CDD-Minas;3;0;0;False;;;;;;
117;413;95;CDD-Minas;0;1;0;true;;;;;;
118;413;95;CDD-Minas;1;1;0;False;;;;;;
119;413;95;CDD-Minas;2;1;0;False;;;;;;
120;413;95;CDD-Minas;3;1;0;False;;;;;;
121;478;71;CDD-Salvador;0;0;0;true;;;;;;
122;478;71;CDD-Salvador;1;0;0;true;;;;;;
123;478;71;CDD-Salvador;2;0;0;true;;;;;;
124;478;71;CDD-Salvador;3;0;0;False;;;;;;
125;478;71;CDD-Salvador;0;1;0;true;;;;;;
126;478;71;CDD-Salvador;1;1;0;true;;;;;;
127;478;71;CDD-Salvador;2;1;0;False;;;;;;
128;478;71;CDD-Salvador;3;1;0;False;;;;;;
129;483;970;CDD-Sul SP;0;0;0;true;;;;;;
130;483;970;CDD-Sul SP;1;0;0;true;;;;;;
131;483;970;CDD-Sul SP;2;0;0;false;;;;;;
132;483;970;CDD-Sul SP;3;0;0;False;;;;;;
133;483;970;CDD-Sul SP;0;1;0;true;;;;;;
134;483;970;CDD-Sul SP;1;1;0;False;;;;;;
135;483;970;CDD-Sul SP;2;1;0;False;;;;;;
136;483;970;CDD-Sul SP;3;1;0;False;;;;;;
137;388;20;CD Santa Fe;0;0;1;True;;;;;;
138;388;20;CD Santa Fe;1;0;1;True;;;;;;
139;388;20;CD Santa Fe;2;0;1;True;;;;;;
140;388;20;CD Santa Fe;3;0;1;True;;;;;;
141;388;20;CD Santa Fe;0;1;1;True;;;;;;
142;388;20;CD Santa Fe;1;1;1;True;;;;;;
143;388;20;CD Santa Fe;2;1;1;True;;;;;;
144;388;20;CD Santa Fe;3;1;1;True;;;;;;
145;393;21;CD Rosario II;0;0;1;True;;;;;;
146;393;21;CD Rosario II;1;0;1;True;;;;;;
147;393;21;CD Rosario II;2;0;1;True;;;;;;
148;393;21;CD Rosario II;3;0;1;True;;;;;;
149;393;21;CD Rosario II;0;1;1;True;;;;;;
150;393;21;CD Rosario II;1;1;1;True;;;;;;
151;393;21;CD Rosario II;2;1;1;True;;;;;;
152;393;21;CD Rosario II;3;1;1;True;;;;;;
153;389;8;CD Rosario;0;0;1;True;;;;;;
154;389;8;CD Rosario;1;0;1;True;;;;;;
155;389;8;CD Rosario;2;0;1;True;;;;;;
156;389;8;CD Rosario;3;0;1;True;;;;;;
157;389;8;CD Rosario;0;1;1;True;;;;;;
158;389;8;CD Rosario;1;1;1;True;;;;;;
159;389;8;CD Rosario;2;1;1;True;;;;;;
160;389;8;CD Rosario;3;1;1;True;;;;;;
161;395;12;CD Corrientes;0;0;1;True;;;;;;
162;395;12;CD Corrientes;1;0;1;True;;;;;;
163;395;12;CD Corrientes;2;0;1;True;;;;;;
164;395;12;CD Corrientes;3;0;1;True;;;;;;
165;395;12;CD Corrientes;0;1;1;True;;;;;;
166;395;12;CD Corrientes;1;1;1;True;;;;;;
167;395;12;CD Corrientes;2;1;1;True;;;;;;
168;395;12;CD Corrientes;3;1;1;True;;;;;;
169;392;11;CD Neuquen;0;0;1;True;;;;;;
170;392;11;CD Neuquen;1;0;1;True;;;;;;
171;392;11;CD Neuquen;2;0;1;True;;;;;;
172;392;11;CD Neuquen;3;0;1;True;;;;;;
173;392;11;CD Neuquen;0;1;1;True;;;;;;
174;392;11;CD Neuquen;1;1;1;True;;;;;;
175;392;11;CD Neuquen;2;1;1;True;;;;;;
176;392;11;CD Neuquen;3;1;1;True;;;;;;
177;394;120;CD Mendoza;0;0;1;True;;;;;;
178;394;120;CD Mendoza;1;0;1;True;;;;;;
179;394;120;CD Mendoza;2;0;1;True;;;;;;
180;394;120;CD Mendoza;3;0;1;True;;;;;;
181;394;120;CD Mendoza;0;1;1;True;;;;;;
182;394;120;CD Mendoza;1;1;1;True;;;;;;
183;394;120;CD Mendoza;2;1;1;True;;;;;;
184;394;120;CD Mendoza;3;1;1;True;;;;;;
185;165;849_old;(Desativado) CDD Manaus - MD;0;0;0;false;;;;;;
186;165;849_old;(Desativado) CDD Manaus - MD;1;0;0;false;;;;;;
187;165;849_old;(Desativado) CDD Manaus - MD;2;0;0;false;;;;;;
188;165;849_old;(Desativado) CDD Manaus - MD;3;0;0;false;;;;;;
189;165;849_old;(Desativado) CDD Manaus - MD;0;1;0;false;;;;;;
190;165;849_old;(Desativado) CDD Manaus - MD;1;1;0;false;;;;;;
191;165;849_old;(Desativado) CDD Manaus - MD;2;1;0;false;;;;;;
192;165;849_old;(Desativado) CDD Manaus - MD;3;1;0;false;;;;;;
193;406;710;CDD-BrasiliaXB;0;0;0;true;;;;;;
194;406;710;CDD-BrasiliaXB;1;0;0;true;;;;;;
195;406;710;CDD-BrasiliaXB;2;0;0;true;;;;;;
196;406;710;CDD-BrasiliaXB;3;0;0;False;;;;;;
197;406;710;CDD-BrasiliaXB;0;1;0;true;;;;;;
198;406;710;CDD-BrasiliaXB;1;1;0;False;;;;;;
199;406;710;CDD-BrasiliaXB;2;1;0;False;;;;;;
200;406;710;CDD-BrasiliaXB;3;1;0;False;;;;;;
201;334;39;CDD-BrasíliaBR;0;0;0;true;;;;;;
202;334;39;CDD-BrasíliaBR;1;0;0;true;;;;;;
203;334;39;CDD-BrasíliaBR;2;0;0;false;;;;;;
204;334;39;CDD-BrasíliaBR;3;0;0;False;;;;;;
205;334;39;CDD-BrasíliaBR;0;1;0;true;;;;;;
206;334;39;CDD-BrasíliaBR;1;1;0;False;;;;;;
207;334;39;CDD-BrasíliaBR;2;1;0;False;;;;;;
208;334;39;CDD-BrasíliaBR;3;1;0;False;;;;;;
209;206;453;CDD-Goiania;0;0;0;true;;;;;;
210;206;453;CDD-Goiania;1;0;0;false;;;;;;
211;206;453;CDD-Goiania;2;0;0;false;;;;;;
212;206;453;CDD-Goiania;3;0;0;False;;;;;;
213;206;453;CDD-Goiania;0;1;0;true;;;;;;
214;206;453;CDD-Goiania;1;1;0;False;;;;;;
215;206;453;CDD-Goiania;2;1;0;False;;;;;;
216;206;453;CDD-Goiania;3;1;0;False;;;;;;
217;318;576;CDD-Uberlandia;0;0;0;true;;;;;;
218;318;576;CDD-Uberlandia;1;0;0;true;;;;;;
219;318;576;CDD-Uberlandia;2;0;0;true;;;;;;
220;318;576;CDD-Uberlandia;3;0;0;False;;;;;;
221;318;576;CDD-Uberlandia;0;1;0;true;;;;;;
222;318;576;CDD-Uberlandia;1;1;0;False;;;;;;
223;318;576;CDD-Uberlandia;2;1;0;False;;;;;;
224;318;576;CDD-Uberlandia;3;1;0;False;;;;;;
225;474;88;CDD-Uberaba;0;0;0;true;;;;;;
226;474;88;CDD-Uberaba;1;0;0;true;;;;;;
227;474;88;CDD-Uberaba;2;0;0;true;;;;;;
228;474;88;CDD-Uberaba;3;0;0;False;;;;;;
229;474;88;CDD-Uberaba;0;1;0;true;;;;;;
230;474;88;CDD-Uberaba;1;1;0;False;;;;;;
231;474;88;CDD-Uberaba;2;1;0;False;;;;;;
232;474;88;CDD-Uberaba;3;1;0;False;;;;;;
233;424;998;INATIVO - CDL-AS Minas;0;0;0;true;;;;;;
234;424;998;INATIVO - CDL-AS Minas;1;0;0;false;;;;;;
235;424;998;INATIVO - CDL-AS Minas;2;0;0;false;;;;;;
236;424;998;INATIVO - CDL-AS Minas;3;0;0;False;;;;;;
237;424;998;INATIVO - CDL-AS Minas;0;1;0;true;;;;;;
238;424;998;INATIVO - CDL-AS Minas;1;1;0;False;;;;;;
239;424;998;INATIVO - CDL-AS Minas;2;1;0;False;;;;;;
240;424;998;INATIVO - CDL-AS Minas;3;1;0;False;;;;;;
241;451;835;CDD-Poços de Caldas;0;0;0;true;;;;;;
242;451;835;CDD-Poços de Caldas;1;0;0;false;;;;;;
243;451;835;CDD-Poços de Caldas;2;0;0;false;;;;;;
244;451;835;CDD-Poços de Caldas;3;0;0;False;;;;;;
245;451;835;CDD-Poços de Caldas;0;1;0;true;;;;;;
246;451;835;CDD-Poços de Caldas;1;1;0;False;;;;;;
247;451;835;CDD-Poços de Caldas;2;1;0;False;;;;;;
248;451;835;CDD-Poços de Caldas;3;1;0;False;;;;;;
249;442;845;CDD-Pouso Alegre;0;0;0;true;;;;;;
250;442;845;CDD-Pouso Alegre;1;0;0;false;;;;;;
251;442;845;CDD-Pouso Alegre;2;0;0;false;;;;;;
252;442;845;CDD-Pouso Alegre;3;0;0;False;;;;;;
253;442;845;CDD-Pouso Alegre;0;1;0;true;;;;;;
254;442;845;CDD-Pouso Alegre;1;1;0;False;;;;;;
255;442;845;CDD-Pouso Alegre;2;1;0;False;;;;;;
256;442;845;CDD-Pouso Alegre;3;1;0;False;;;;;;
257;458;45;CDD-Ipatinga;0;0;0;true;;;;;;
258;458;45;CDD-Ipatinga;1;0;0;false;;;;;;
259;458;45;CDD-Ipatinga;2;0;0;false;;;;;;
260;458;45;CDD-Ipatinga;3;0;0;False;;;;;;
261;458;45;CDD-Ipatinga;0;1;0;true;;;;;;
262;458;45;CDD-Ipatinga;1;1;0;False;;;;;;
263;458;45;CDD-Ipatinga;2;1;0;False;;;;;;
264;458;45;CDD-Ipatinga;3;1;0;False;;;;;;
265;130;189;CDD-Sete Lagoas;0;0;0;true;;;;;;
266;130;189;CDD-Sete Lagoas;1;0;0;true;;;;;;
267;130;189;CDD-Sete Lagoas;2;0;0;true;;;;;;
268;130;189;CDD-Sete Lagoas;3;0;0;False;;;;;;
269;130;189;CDD-Sete Lagoas;0;1;0;true;;;;;;
270;130;189;CDD-Sete Lagoas;1;1;0;False;;;;;;
271;130;189;CDD-Sete Lagoas;2;1;0;False;;;;;;
272;130;189;CDD-Sete Lagoas;3;1;0;False;;;;;;
273;423;322;CDD-Varginha;0;0;0;true;;;;;;
274;423;322;CDD-Varginha;1;0;0;true;;;;;;
275;423;322;CDD-Varginha;2;0;0;true;;;;;;
276;423;322;CDD-Varginha;3;0;0;False;;;;;;
277;423;322;CDD-Varginha;0;1;0;true;;;;;;
278;423;322;CDD-Varginha;1;1;0;False;;;;;;
279;423;322;CDD-Varginha;2;1;0;False;;;;;;
280;423;322;CDD-Varginha;3;1;0;False;;;;;;
281;453;141;CDD-Maceio;0;0;0;true;;;;;;
282;453;141;CDD-Maceio;1;0;0;true;;;;;;
283;453;141;CDD-Maceio;2;0;0;true;;;;;;
284;453;141;CDD-Maceio;3;0;0;False;;;;;;
285;453;141;CDD-Maceio;0;1;0;true;;;;;;
286;453;141;CDD-Maceio;1;1;0;False;;;;;;
287;453;141;CDD-Maceio;2;1;0;False;;;;;;
288;453;141;CDD-Maceio;3;1;0;False;;;;;;
289;337;46;CDD-LAPA;0;0;0;true;;;;;;
290;337;46;CDD-LAPA;1;0;0;true;;;;;;
291;337;46;CDD-LAPA;2;0;0;true;;;;;;
292;337;46;CDD-LAPA;3;0;0;False;;;;;;
293;337;46;CDD-LAPA;0;1;0;true;;;;;;
294;337;46;CDD-LAPA;1;1;0;False;;;;;;
295;337;46;CDD-LAPA;2;1;0;False;;;;;;
296;337;46;CDD-LAPA;3;1;0;False;;;;;;
297;464;52;CDD-Guanambi;0;0;0;true;;;;;;
298;464;52;CDD-Guanambi;1;0;0;true;;;;;;
299;464;52;CDD-Guanambi;2;0;0;true;;;;;;
300;464;52;CDD-Guanambi;3;0;0;False;;;;;;
301;464;52;CDD-Guanambi;0;1;0;true;;;;;;
302;464;52;CDD-Guanambi;1;1;0;False;;;;;;
303;464;52;CDD-Guanambi;2;1;0;False;;;;;;
304;464;52;CDD-Guanambi;3;1;0;False;;;;;;
305;438;70;CDD-Ilheus;0;0;0;true;;;;;;
306;438;70;CDD-Ilheus;1;0;0;true;;;;;;
307;438;70;CDD-Ilheus;2;0;0;false;;;;;;
308;438;70;CDD-Ilheus;3;0;0;False;;;;;;
309;438;70;CDD-Ilheus;0;1;0;true;;;;;;
310;438;70;CDD-Ilheus;1;1;0;False;;;;;;
311;438;70;CDD-Ilheus;2;1;0;False;;;;;;
312;438;70;CDD-Ilheus;3;1;0;False;;;;;;
313;409;598;CDD-Caruaru;0;0;0;true;;;;;;
314;409;598;CDD-Caruaru;1;0;0;true;;;;;;
315;409;598;CDD-Caruaru;2;0;0;true;;;;;;
316;409;598;CDD-Caruaru;3;0;0;False;;;;;;
317;409;598;CDD-Caruaru;0;1;0;true;;;;;;
318;409;598;CDD-Caruaru;1;1;0;false;;;;;;
319;409;598;CDD-Caruaru;2;1;0;False;;;;;;
320;409;598;CDD-Caruaru;3;1;0;False;;;;;;
321;467;135;CDD-Vitória da Conquista;0;0;0;true;;;;;;
322;467;135;CDD-Vitória da Conquista;1;0;0;true;;;;;;
323;467;135;CDD-Vitória da Conquista;2;0;0;true;;;;;;
324;467;135;CDD-Vitória da Conquista;3;0;0;False;;;;;;
325;467;135;CDD-Vitória da Conquista;0;1;0;true;;;;;;
326;467;135;CDD-Vitória da Conquista;1;1;0;False;;;;;;
327;467;135;CDD-Vitória da Conquista;2;1;0;False;;;;;;
328;467;135;CDD-Vitória da Conquista;3;1;0;False;;;;;;
329;407;581;CDD-Aracaju;0;0;0;true;;;;;;
330;407;581;CDD-Aracaju;1;0;0;false;;;;;;
331;407;581;CDD-Aracaju;2;0;0;false;;;;;;
332;407;581;CDD-Aracaju;3;0;0;False;;;;;;
333;407;581;CDD-Aracaju;0;1;0;true;;;;;;
334;407;581;CDD-Aracaju;1;1;0;False;;;;;;
335;407;581;CDD-Aracaju;2;1;0;False;;;;;;
336;407;581;CDD-Aracaju;3;1;0;False;;;;;;
337;154;934;CDD-Campina Grande;0;0;0;true;;;;;;
338;154;934;CDD-Campina Grande;1;0;0;false;;;;;;
339;154;934;CDD-Campina Grande;2;0;0;false;;;;;;
340;154;934;CDD-Campina Grande;3;0;0;False;;;;;;
341;154;934;CDD-Campina Grande;0;1;0;true;;;;;;
342;154;934;CDD-Campina Grande;1;1;0;False;;;;;;
343;154;934;CDD-Campina Grande;2;1;0;False;;;;;;
344;154;934;CDD-Campina Grande;3;1;0;False;;;;;;
345;420;729;CDD-Cabo;0;0;0;true;;;;;;
346;420;729;CDD-Cabo;1;0;0;true;;;;;;
347;420;729;CDD-Cabo;2;0;0;true;;;;;;
348;420;729;CDD-Cabo;3;0;0;False;;;;;;
349;420;729;CDD-Cabo;0;1;0;true;;;;;;
350;420;729;CDD-Cabo;1;1;0;False;;;;;;
351;420;729;CDD-Cabo;2;1;0;False;;;;;;
352;420;729;CDD-Cabo;3;1;0;False;;;;;;
353;419;295;CDD-Barreiras;0;0;0;False;;;;;;
354;419;295;CDD-Barreiras;1;0;0;False;;;;;;
355;419;295;CDD-Barreiras;2;0;0;False;;;;;;
356;419;295;CDD-Barreiras;3;0;0;False;;;;;;
357;419;295;CDD-Barreiras;0;1;0;False;;;;;;
358;419;295;CDD-Barreiras;1;1;0;False;;;;;;
359;419;295;CDD-Barreiras;2;1;0;False;;;;;;
360;419;295;CDD-Barreiras;3;1;0;False;;;;;;
361;431;499;CDD-Fortaleza;0;0;0;true;;;;;;
362;431;499;CDD-Fortaleza;1;0;0;false;;;;;;
363;431;499;CDD-Fortaleza;2;0;0;false;;;;;;
364;431;499;CDD-Fortaleza;3;0;0;False;;;;;;
365;431;499;CDD-Fortaleza;0;1;0;true;;;;;;
366;431;499;CDD-Fortaleza;1;1;0;False;;;;;;
367;431;499;CDD-Fortaleza;2;1;0;False;;;;;;
368;431;499;CDD-Fortaleza;3;1;0;False;;;;;;
369;416;638;CDD-Natal;0;0;0;true;;;;;;
370;416;638;CDD-Natal;1;0;0;true;;;;;;
371;416;638;CDD-Natal;2;0;0;true;;;;;;
372;416;638;CDD-Natal;3;0;0;False;;;;;;
373;416;638;CDD-Natal;0;1;0;true;;;;;;
374;416;638;CDD-Natal;1;1;0;False;;;;;;
375;416;638;CDD-Natal;2;1;0;False;;;;;;
376;416;638;CDD-Natal;3;1;0;False;;;;;;
377;417;603;CDD-Imperatriz;0;0;0;true;;;;;;
378;417;603;CDD-Imperatriz;1;0;0;true;;;;;;
379;417;603;CDD-Imperatriz;2;0;0;true;;;;;;
380;417;603;CDD-Imperatriz;3;0;0;False;;;;;;
381;417;603;CDD-Imperatriz;0;1;0;true;;;;;;
382;417;603;CDD-Imperatriz;1;1;0;False;;;;;;
383;417;603;CDD-Imperatriz;2;1;0;False;;;;;;
384;417;603;CDD-Imperatriz;3;1;0;False;;;;;;
385;336;111;CDD-RONDONOPOLIS;0;0;0;true;;;;;;
386;336;111;CDD-RONDONOPOLIS;1;0;0;true;;;;;;
387;336;111;CDD-RONDONOPOLIS;2;0;0;true;;;;;;
388;336;111;CDD-RONDONOPOLIS;3;0;0;False;;;;;;
389;336;111;CDD-RONDONOPOLIS;0;1;0;true;;;;;;
390;336;111;CDD-RONDONOPOLIS;1;1;0;False;;;;;;
391;336;111;CDD-RONDONOPOLIS;2;1;0;False;;;;;;
392;336;111;CDD-RONDONOPOLIS;3;1;0;False;;;;;;
393;391;541;CDL-Santa Luzia;0;0;0;true;;;;;;
394;391;541;CDL-Santa Luzia;1;0;0;false;;;;;;
395;391;541;CDL-Santa Luzia;2;0;0;false;;;;;;
396;391;541;CDL-Santa Luzia;3;0;0;False;;;;;;
397;391;541;CDL-Santa Luzia;0;1;0;true;;;;;;
398;391;541;CDL-Santa Luzia;1;1;0;False;;;;;;
399;391;541;CDL-Santa Luzia;2;1;0;False;;;;;;
400;391;541;CDL-Santa Luzia;3;1;0;False;;;;;;
401;398;546;CDD-Olinda;0;0;0;true;;;;;;
402;398;546;CDD-Olinda;1;0;0;true;;;;;;
403;398;546;CDD-Olinda;2;0;0;true;;;;;;
404;398;546;CDD-Olinda;3;0;0;False;;;;;;
405;398;546;CDD-Olinda;0;1;0;true;;;;;;
406;398;546;CDD-Olinda;1;1;0;False;;;;;;
407;398;546;CDD-Olinda;2;1;0;False;;;;;;
408;398;546;CDD-Olinda;3;1;0;False;;;;;;
409;448;457;CDD-Paraiba;0;0;0;true;;;;;;
410;448;457;CDD-Paraiba;1;0;0;false;;;;;;
411;448;457;CDD-Paraiba;2;0;0;false;;;;;;
412;448;457;CDD-Paraiba;3;0;0;false;;;;;;
413;448;457;CDD-Paraiba;0;1;0;true;;;;;;
414;448;457;CDD-Paraiba;1;1;0;false;;;;;;
415;448;457;CDD-Paraiba;2;1;0;false;;;;;;
416;448;457;CDD-Paraiba;3;1;0;false;;;;;;
417;433;229;CDD-Belem;0;0;0;true;;;;;;
418;433;229;CDD-Belem;1;0;0;false;;;;;;
419;433;229;CDD-Belem;2;0;0;false;;;;;;
420;433;229;CDD-Belem;3;0;0;False;;;;;;
421;433;229;CDD-Belem;0;1;0;true;;;;;;
422;433;229;CDD-Belem;1;1;0;False;;;;;;
423;433;229;CDD-Belem;2;1;0;false;;;;;;
424;433;229;CDD-Belem;3;1;0;False;;;;;;
425;239;292;CDD-Marabá;0;0;0;true;;;;;;
426;239;292;CDD-Marabá;1;0;0;true;;;;;;
427;239;292;CDD-Marabá;2;0;0;true;;;;;;
428;239;292;CDD-Marabá;3;0;0;False;;;;;;
429;239;292;CDD-Marabá;0;1;0;true;;;;;;
430;239;292;CDD-Marabá;1;1;0;False;;;;;;
431;239;292;CDD-Marabá;2;1;0;False;;;;;;
432;239;292;CDD-Marabá;3;1;0;False;;;;;;
433;479;61;CDD-Nova Iguacu;0;0;0;true;;;;;;
434;479;61;CDD-Nova Iguacu;1;0;0;true;;;;;;
435;479;61;CDD-Nova Iguacu;2;0;0;true;;;;;;
436;479;61;CDD-Nova Iguacu;3;0;0;False;;;;;;
437;479;61;CDD-Nova Iguacu;0;1;0;true;;;;;;
438;479;61;CDD-Nova Iguacu;1;1;0;False;;;;;;
439;479;61;CDD-Nova Iguacu;2;1;0;False;;;;;;
440;479;61;CDD-Nova Iguacu;3;1;0;False;;;;;;
441;414;438;CDD-Vitoria;0;0;0;true;;;;;;
442;414;438;CDD-Vitoria;1;0;0;true;;;;;;
443;414;438;CDD-Vitoria;2;0;0;true;;;;;;
444;414;438;CDD-Vitoria;3;0;0;False;;;;;;
445;414;438;CDD-Vitoria;0;1;0;true;;;;;;
446;414;438;CDD-Vitoria;1;1;0;False;;;;;;
447;414;438;CDD-Vitoria;2;1;0;False;;;;;;
448;414;438;CDD-Vitoria;3;1;0;False;;;;;;
449;476;495;CDL-Itaperuna;0;0;1;True;;;;;;
450;476;495;CDL-Itaperuna;1;0;1;True;;;;;;
451;476;495;CDL-Itaperuna;2;0;1;True;;;;;;
452;476;495;CDL-Itaperuna;3;0;1;True;;;;;;
453;476;495;CDL-Itaperuna;0;1;0;true;;;;;;
454;476;495;CDL-Itaperuna;1;1;0;False;;;;;;
